Group,Similar Phrases
"Задачи, которые мы подготовили для тебя ✍","Задачи, которые мы подготовили для тебя ✍"
1С? Это что-то про бухгалтерию?,1С? Это что-то про бухгалтерию?
Inspiritum Ltd - рекламное агентство с головным офисом на Кипре. Уже много лет работаем в сфере арбитража трафика.,Inspiritum Ltd - рекламное агентство с головным офисом на Кипре. Уже много лет работаем в сфере арбитража трафика.
Интеграция телефонии с CRM,Интеграция телефонии с CRM
Преимуществом будет опыт и экспертиза в следующих направлениях:,Преимуществом будет опыт и экспертиза в следующих направлениях:
Мировое признание:,Мировое признание:
Навыки построения аналитических отчетов,Навыки построения аналитических отчетов
Опыт работы с решениями на платформе 1С,Опыт работы с решениями на платформе 1С
Что потребуется для этих выполнения задач:,Что потребуется для этих выполнения задач:
Проекты в которых тебе предстоит участвовать,Проекты в которых тебе предстоит участвовать
Что входит в задачи Менеджеров Отдела:,Что входит в задачи Менеджеров Отдела:
Команда Global Retail:,Команда Global Retail:
Требуемый опыт работы и навыки:,Требуемый опыт работы и навыки:
На испытательном сроке мы будем оценивать:,На испытательном сроке мы будем оценивать:
"Структура, в которой работает системный аналитик:","Структура, в которой работает системный аналитик:"
Мы работаем на стеке:,Мы работаем на стеке:
Хотите в нашу команду? Откликайтесь скорее!,Хотите в нашу команду? Откликайтесь скорее!
"КРЕАТИВНОСТЬ, ПРОФЕССИОНАЛИЗМ И ГОТОВНОСТЬ ПОЛУЧАТЬ УДОВОЛЬСТВИЕ ОТ РАБОТЫ И КОЛЛЕКТИВА ВОКРУГ - ЭТО ВСЕ МЫ. БУДЕМ РАДЫ ВИДЕТЬ ИМЕННО ТЕБЯ В НАШЕЙ IT-КОМАНДЕ.","КРЕАТИВНОСТЬ, ПРОФЕССИОНАЛИЗМ И ГОТОВНОСТЬ ПОЛУЧАТЬ УДОВОЛЬСТВИЕ ОТ РАБОТЫ И КОЛЛЕКТИВА ВОКРУГ - ЭТО ВСЕ МЫ. БУДЕМ РАДЫ ВИДЕТЬ ИМЕННО ТЕБЯ В НАШЕЙ IT-КОМАНДЕ."
"Не жди лучшего момента, он настал сейчас!) Спрос в Москве на рынке недвижимости огромен, вакансия срочная хотим набрать большой отдел специалистов до 10.11. Обязательно отправляйте отклик и наш специалист с Вами свяжется и проведет более подробную карьерную консультацию по Вашему запросу!:)","Не жди лучшего момента, он настал сейчас!) Спрос в Москве на рынке недвижимости огромен, вакансия срочная хотим набрать большой отдел специалистов до 10.11. Обязательно отправляйте отклик и наш специалист с Вами свяжется и проведет более подробную карьерную консультацию по Вашему запросу!:)"
Что Вы получите при работе с нами:,Что Вы получите при работе с нами:
Для работы потребуется,Для работы потребуется
"Офис в красивом современном БЦ &quot;Новая Орбита&quot;, Москва, ул. Кулакова, 20 с. 1а, корпус Альфа","Офис в красивом современном БЦ &quot;Новая Орбита&quot;, Москва, ул. Кулакова, 20 с. 1а, корпус Альфа"
"Присоединяйся к команде, где аналитика действительно влияет на бизнес!","Присоединяйся к команде, где аналитика действительно влияет на бизнес!"
How you are going to make an impact,How you are going to make an impact
Что предстоит делать на этой позиции?,"Что предстоит делать на этой позиции?, Задачи на этой позиции"
Возможность роста и прокачки hard-skills,Возможность роста и прокачки hard-skills
Мы ищем талантливого smm-специалиста со знанием испанского языка!,Мы ищем талантливого smm-специалиста со знанием испанского языка!
"Будет здорово, если сталкивался:","Будет здорово, если сталкивался:"
"Приглашаем к нам в команду ассистентов по работе с таблицами, чтобы интересно развиваться в перспективном финансовом направлении бизнеса.","Приглашаем к нам в команду ассистентов по работе с таблицами, чтобы интересно развиваться в перспективном финансовом направлении бизнеса."
Заработная плата,Заработная плата
ЧТО МЫ ГОТОВЫ ВАМ ПРЕДЛОЖИТ,ЧТО МЫ ГОТОВЫ ВАМ ПРЕДЛОЖИТ
Job experience and qualification:,Job experience and qualification:
"EMI — бренд профессиональной косметики, который входит в ТОП-5 лидеров nail-рынка <em>РФ</em> и СНГ по объёму реализации.","EMI — бренд профессиональной косметики, который входит в ТОП-5 лидеров nail-рынка <em>РФ</em> и СНГ по объёму реализации."
Глобальные задачи DevOps в Банке,Глобальные задачи DevOps в Банке
Навыки обучения пользователей,Навыки обучения пользователей
"Задачи, которые могут стать твоими:","Задачи, которые могут стать твоими:"
5 лет успешной работы на рынке медицинских услуг,5 лет успешной работы на рынке медицинских услуг
Perks and Swag:,Perks and Swag:
CyberBird,CyberBird
"Мы не будем полезны друг другу, если вы:","Мы не будем полезны друг другу, если вы:"
Что готова дать компания:,Что готова дать компания:
Миссия Кибердома -,Миссия Кибердома -
Присоединяйся к VLEGRO и меняй будущее вместе с нами!,Присоединяйся к VLEGRO и меняй будущее вместе с нами!
Почему Вам будет интересно у нас работать:,Почему Вам будет интересно у нас работать:
<em>Про опыт нашего будущего коллеги: </em>,<em>Про опыт нашего будущего коллеги: </em>
Киллер-фичи:,Киллер-фичи:
"Наша вакансия для людей, которые интересуются здоровым питанием и умеют работать с большим объемом данных. Идеальный профиль специалиста - это аналитик или экономист, который устал от рутинной работы.","Наша вакансия для людей, которые интересуются здоровым питанием и умеют работать с большим объемом данных. Идеальный профиль специалиста - это аналитик или экономист, который устал от рутинной работы."
Компания ЕМЕ,Компания ЕМЕ
ВАЖНО! КАНДИДАТЫ БЕЗ ОПЫТА НЕ РАССМАТРИВАЮТСЯ.,ВАЖНО! КАНДИДАТЫ БЕЗ ОПЫТА НЕ РАССМАТРИВАЮТСЯ.
Описание должностных обязанностей:,Описание должностных обязанностей:
Само собой:,Само собой:
ITVolna.tech,ITVolna.tech
"За следующие 1-2 дня вы проходите короткий вступительный тест (40 вопросов) и выполняете задания (6 задач, ответ нужно писать в числовом значении) на знание SQL. Также ОБЯЗАТЕЛЬНО заполняете анкету &quot;Расскажи о себе&quot; и прикладывайте резюме. Необходимо выполнить все пункты, чтобы мы могли рассмотреть вашу заявку.","За следующие 1-2 дня вы проходите короткий вступительный тест (40 вопросов) и выполняете задания (6 задач, ответ нужно писать в числовом значении) на знание SQL. Также ОБЯЗАТЕЛЬНО заполняете анкету &quot;Расскажи о себе&quot; и прикладывайте резюме. Необходимо выполнить все пункты, чтобы мы могли рассмотреть вашу заявку."
Проектное управление 1С-продуктов,Проектное управление 1С-продуктов
"Мы ищем кандидата, который обладает следующими навыками:﻿","Мы ищем кандидата, который обладает следующими навыками:﻿"
ПОЛНЫЙ ДЕНЬ: МИНИМАЛЬНАЯ ЗАРПЛАТА В МЕСЯЦ 71.000р/85000 при 6ч/8ч день + KPI.,ПОЛНЫЙ ДЕНЬ: МИНИМАЛЬНАЯ ЗАРПЛАТА В МЕСЯЦ 71.000р/85000 при 6ч/8ч день + KPI.
Как происходит отбор в команду:,Как происходит отбор в команду:
Main Responsibilities,Main Responsibilities
От 2 лет работы с Битрикс24 и AMOCRM,От 2 лет работы с Битрикс24 и AMOCRM
Почему открыта вакансия менеджера по развитию бизнеса:,Почему открыта вакансия менеджера по развитию бизнеса:
Будем рады предложить:,Будем рады предложить:
Социальные льготы:,Социальные льготы:
В этой роли ты будешь:,В этой роли ты будешь:
имеете опыт общения с разработчиками напрямую;,имеете опыт общения с разработчиками напрямую;
Что делает эту возможность уникальной:,Что делает эту возможность уникальной:
"После того как вы откликнетесь, я пришлю тебе ссылку на","После того как вы откликнетесь, я пришлю тебе ссылку на"
"Наши условия для тебя, но помни – мы готовы все обсуждать:","Наши условия для тебя, но помни – мы готовы все обсуждать:"
MAGNUM ESTATE,"MAGNUM ESTATE, MAGNUM ESTATE –"
KTS,KTS
EDPRO в цифрах:,EDPRO в цифрах:
Перспективы:,Перспективы:
Для этого у нас есть:,Для этого у нас есть:
ЧТО ПРЕДСТАВЛЯЕТ СОБОЙ ПРОЦЕСС НАЙМА,ЧТО ПРЕДСТАВЛЯЕТ СОБОЙ ПРОЦЕСС НАЙМА
Пример задач:,Пример задач:
BNS Group,BNS Group
Ваша миссия – поднять продажи на новый уровень:,Ваша миссия – поднять продажи на новый уровень:
Мы заботим о вашем комфорте и предлагаем:,Мы заботим о вашем комфорте и предлагаем:
Организация и участие:,Организация и участие:
Про рост и развитие,Про рост и развитие
Проект:,"Проект:, ПРОЕКТ:"
Думаем о каждом:,Думаем о каждом:
Командная атмосфера:,Командная атмосфера:
Если тебе это близко- откликайся!,Если тебе это близко- откликайся!
Удобный график на выбор:,Удобный график на выбор:
ЭТАПЫ ОТБОРА:,"ЭТАПЫ ОТБОРА:, Этапы отбора:"
"Главные качества, которыми должен обладать кандидат:","Главные качества, которыми должен обладать кандидат:"
Компания входит в реестр аккредитованных ИТ-компаний.,Компания входит в реестр аккредитованных ИТ-компаний.
"Получи доход и карьеру, которые ты заслуживаешь!","Получи доход и карьеру, которые ты заслуживаешь!"
Brandquad,Brandquad
"Приходи к нам в команду, если ты:","Приходи к нам в команду, если ты:"
Ищем IT-рекрутера / HR-менеджера,Ищем IT-рекрутера / HR-менеджера
"г. Москва, м. Молодежная","г. Москва, м. Молодежная"
Обеспечить высокий уровень сервиса:,Обеспечить высокий уровень сервиса:
Wildberries,Wildberries
О нас и о продукте:,О нас и о продукте:
"Наша команда - команда победителей! Всегда добиваться нужного результата, независимо от того, какие препятствия стоят на пути - это про НАС! Мы ищем чемпионов, с которыми будем бить все новые и новые рекорды!","Наша команда - команда победителей! Всегда добиваться нужного результата, независимо от того, какие препятствия стоят на пути - это про НАС! Мы ищем чемпионов, с которыми будем бить все новые и новые рекорды!"
Кому точно не к нам:,Кому точно не к нам:
<em>НАПРАВЛЕНИЯ РАБОТЫ:</em>,<em>НАПРАВЛЕНИЯ РАБОТЫ:</em>
"Креативность, нестандартное мышление, ответственность;","Креативность, нестандартное мышление, ответственность;"
Что необходимо кандидату для успешного старта:,Что необходимо кандидату для успешного старта:
Стандартизация и процессы Data Quality:,Стандартизация и процессы Data Quality:
«Группа компаний «РКС Девелопмент»,«Группа компаний «РКС Девелопмент»
Вы отправляете заявку через сайт (5 минут). Ссылку на сайт стажерской программы Вы получите в отклике.,Вы отправляете заявку через сайт (5 минут). Ссылку на сайт стажерской программы Вы получите в отклике.
На что мы обратим внимание:,На что мы обратим внимание:
Ключевая цель позиции:,Ключевая цель позиции:
<em>Voximplant</em>,<em>Voximplant</em>
"Примеры проектов, которые мы делаем:","Примеры проектов, которые мы делаем:"
"Ищем сотрудника на полную занятость (5/2), работа в офисе.","Ищем сотрудника на полную занятость (5/2), работа в офисе."
"Медтайм - федеральная медицинская компания, признанный лидер в области наркологии и психиатрии в России. Мы помогаем людям вернуться к здоровой жизни, и каждый месяц благодаря нашей работе сотни семей обретают надежду и новое будущее.","Медтайм - федеральная медицинская компания, признанный лидер в области наркологии и психиатрии в России. Мы помогаем людям вернуться к здоровой жизни, и каждый месяц благодаря нашей работе сотни семей обретают надежду и новое будущее."
Рунити,Рунити
Ищем middle/senior-DevOps&#39;а в команду DevOps-юнита.,Ищем middle/senior-DevOps&#39;а в команду DevOps-юнита.
Необходимые компетенции:,"Необходимые компетенции:, НЕОБХОДИМЫЕ КОМПЕТЕНЦИИ:"
Ваша миссия:,Ваша миссия:
Abous Us,Abous Us
Чем предстоит заниматься в этой роли:,Чем предстоит заниматься в этой роли:
В твои обязанности будет входить:,В твои обязанности будет входить:
"Для нашего партнера, аккредитованной IT компании Keyseven мы ищем ведущего разработчика 1С. Компания занимается разработкой сайтов, мобильных приложений и технической поддержкой .","Для нашего партнера, аккредитованной IT компании Keyseven мы ищем ведущего разработчика 1С. Компания занимается разработкой сайтов, мобильных приложений и технической поддержкой ."
Our ideal candidate has:,Our ideal candidate has:
График работы с 9.00 до 18.00 - работа только в офисе,График работы с 9.00 до 18.00 - работа только в офисе
"Ищем тех, кто:","Ищем тех, кто:"
Нам доверяют свои знания известные компании:,Нам доверяют свои знания известные компании:
​​​​​​​,​​​​​​​
Будут плюсом:,Будут плюсом:
"Откликайтесь, и мы свяжемся с вами!","Откликайтесь, и мы свяжемся с вами!"
Квалификации,Квалификации
"Мы найдём общий язык, если у вас есть:","Мы найдём общий язык, если у вас есть:"
В данный момент мы приглашаем в команду организатора туров по России,В данный момент мы приглашаем в команду организатора туров по России
Структурированные источники данных,Структурированные источники данных
Инструменты:,Инструменты:
Что вам необходимо для этого:,"Что вам необходимо для этого:, Что для этого необходимо:, ЧТО ВАМ ДЛЯ ЭТОГО НУЖНО:"
"В связи с ростом сделок и спросом на различные новостройки по всей Москве и области, мы открываем набор - и ищем крутых менеджеров по продажам:) Готовы рассмотреть без опыта, так как для нас важен не столько опыт в продажах, сколько коммуникативные навыки, эмоциональный интеллект, а также умение слышать и слушать клиента. Остальному научим сами и представим для этого все инструменты - обучение, ввод в компанию, адаптацию, CRM, платформу Самолета, всех-всех других проверенных застройщиков, страхование каждой сделки и юридическую проверку берем на себя!","В связи с ростом сделок и спросом на различные новостройки по всей Москве и области, мы открываем набор - и ищем крутых менеджеров по продажам:) Готовы рассмотреть без опыта, так как для нас важен не столько опыт в продажах, сколько коммуникативные навыки, эмоциональный интеллект, а также умение слышать и слушать клиента. Остальному научим сами и представим для этого все инструменты - обучение, ввод в компанию, адаптацию, CRM, платформу Самолета, всех-всех других проверенных застройщиков, страхование каждой сделки и юридическую проверку берем на себя!"
ЧТО МЫ ИЩЕМ В КАНДИДАТАХ,ЧТО МЫ ИЩЕМ В КАНДИДАТАХ
Тебя приветствует команда,Тебя приветствует команда
"Вы отличное подойдете на эту вакансию, если:","Вы отличное подойдете на эту вакансию, если:"
Omega Beаuty Group,Omega Beаuty Group
Минимум бюрократии и должностной иерархии,Минимум бюрократии и должностной иерархии
"Мы занимаемся производством и продажей химического сырья, а также услугами по утеплению жилых и коммерческих помещений с 2010 г.","Мы занимаемся производством и продажей химического сырья, а также услугами по утеплению жилых и коммерческих помещений с 2010 г."
"Да, кстати:","Да, кстати:"
П,П
Mos.ru,Mos.ru
Кандидат должен уметь:,Кандидат должен уметь:
Удобный график 5/2 с гибким началом дня,Удобный график 5/2 с гибким началом дня
Предлагаем гибкий формат работы:,Предлагаем гибкий формат работы:
Наши достижения:,Наши достижения:
Будет весомым преимуществом:,Будет весомым преимуществом:
Target platforms:,Target platforms:
"Тебе подойдет эта работа, если:","Тебе подойдет эта работа, если:"
ЮгСпецОборудование,ЮгСпецОборудование
"Как понять, что это твоё место?","Как понять, что это твоё место?"
ВЫСОКИЙ! ОКЛАД + ВЫСОКИЙ! ПРОЦЕНТ от продаж,ВЫСОКИЙ! ОКЛАД + ВЫСОКИЙ! ПРОЦЕНТ от продаж
в должности,в должности
"Навыки, которые ценим:","Навыки, которые ценим:"
В сеть клиник,В сеть клиник
Методология:,Методология:
"Будем плюсом, если вы :","Будем плюсом, если вы :"
В данный момент мы в поиске Senior Rust Developer в нашу команду!,В данный момент мы в поиске Senior Rust Developer в нашу команду!
1. Фундаментальная аналитика,1. Фундаментальная аналитика
Вакансия открыта в Департаменте по развитию человеческого капитала.,Вакансия открыта в Департаменте по развитию человеческого капитала.
"Ищем стажеров, готовых пройти бесплатное обучение на наших курсах по PHP и после обучения выйти к нам в штат как junior-специалист.","Ищем стажеров, готовых пройти бесплатное обучение на наших курсах по PHP и после обучения выйти к нам в штат как junior-специалист."
Remote Work:,Remote Work:
ЧТО НУЖНО СДЕЛАТЬ ПРЯМО СЕЙЧАС?,ЧТО НУЖНО СДЕЛАТЬ ПРЯМО СЕЙЧАС?
UX:,UX:
Опыт в продажах B2B,Опыт в продажах B2B
Чем мы выгодно отличаемся от огромного количества вакансий в сфере продаж?,Чем мы выгодно отличаемся от огромного количества вакансий в сфере продаж?
Мы ждем тебя!,Мы ждем тебя!
"Будем рады пообщаться, если есть:","Будем рады пообщаться, если есть:"
Наш идеальный коллега:,Наш идеальный коллега:
✨,✨
Как поступить на программу обучения:,Как поступить на программу обучения:
В обязанности Менеджера по работе с клиентами входит:,В обязанности Менеджера по работе с клиентами входит:
<em>Что мы гарантируем работнику?</em>,<em>Что мы гарантируем работнику?</em>
"Наша команда - это синергия управления, дружбы, открытых и честных коммуникаций, а самое главное - успешных и стабильных кейсов на рынке.","Наша команда - это синергия управления, дружбы, открытых и честных коммуникаций, а самое главное - успешных и стабильных кейсов на рынке."
"Мы ждём, что вы:","Мы ждём, что вы:"
Как все пройдёт:,Как все пройдёт:
"Мы помогаем бизнесу удобно и безопасно сотрудничать с внештатными исполнителями. Наши клиенты — лидеры в своих отраслях : Додо Пицца, Кухня на районе, Ясно, eLama и другие.","Мы помогаем бизнесу удобно и безопасно сотрудничать с внештатными исполнителями. Наши клиенты — лидеры в своих отраслях : Додо Пицца, Кухня на районе, Ясно, eLama и другие."
Кто нам нужен,Кто нам нужен
<em>Мы – центр развития Индийского филиала Сбера</em>,<em>Мы – центр развития Индийского филиала Сбера</em>
"С 1997 года команда «Ренессанс страхование» помогает нашим клиентам — таким же людям, как и мы сами — в сложных ситуациях. Мы прошли путь от классической страховой компании до компании InsurTech, которая цифровизирует процессы на всем пути клиента и создает новые онлайн-сервисы и digital-продукты. Мы первыми на рынке страхования прошли полноценное IPO в октябре 2021 года! И впереди у нас большие планы, которые мы реализуем вместе с тобой.","С 1997 года команда «Ренессанс страхование» помогает нашим клиентам — таким же людям, как и мы сами — в сложных ситуациях. Мы прошли путь от классической страховой компании до компании InsurTech, которая цифровизирует процессы на всем пути клиента и создает новые онлайн-сервисы и digital-продукты. Мы первыми на рынке страхования прошли полноценное IPO в октябре 2021 года! И впереди у нас большие планы, которые мы реализуем вместе с тобой."
Руководителя медиа отдела,"Руководителя медиа отдела, Руководителя отдела медиа"
"(предпочтительно в компаниях похожего профиля или на мебельных предприятиях, компаниях по производству наружной рекламы, выставочного оборудования)","(предпочтительно в компаниях похожего профиля или на мебельных предприятиях, компаниях по производству наружной рекламы, выставочного оборудования)"
Владение программами:,Владение программами:
Why us?,Why us?
Трафик:,Трафик:
"Гарантирем свободу принятия решений, максимальное развитие, вовлеченный дружный коллектив без бюрократии и издержек вертикального управлении.","Гарантирем свободу принятия решений, максимальное развитие, вовлеченный дружный коллектив без бюрократии и издержек вертикального управлении."
"Мы создаем новые интересные проекты с нуля для крупных компаний в сфере продвинутых математических моделей, если ты хочешь быть частью команды и создавать то, что никто до нас раньше не делал, откликайся на вакансию.","Мы создаем новые интересные проекты с нуля для крупных компаний в сфере продвинутых математических моделей, если ты хочешь быть частью команды и создавать то, что никто до нас раньше не делал, откликайся на вакансию."
Почему выбирают amoCRM?,Почему выбирают amoCRM?
Основными партнерами являются направления маркетинга и контента.,Основными партнерами являются направления маркетинга и контента.
Ключевой момент:,Ключевой момент:
Международная компания &quot;ТрансЛинк&quot;-,Международная компания &quot;ТрансЛинк&quot;-
Что предстоиттвоит делать?,Что предстоиттвоит делать?
"Что нужно, чтобы стать частью нашей команды:","Что нужно, чтобы стать частью нашей команды:"
"Кратко о том, что будет:","Кратко о том, что будет:"
Привет! Мы международная IT компания Marfatech.,Привет! Мы международная IT компания Marfatech.
Тебя ожидают следующие задачи:,Тебя ожидают следующие задачи:
"У тебя точно получится, если:","У тебя точно получится, если:"
Опыт работы с Яндекс DataLens,Опыт работы с Яндекс DataLens
Hungry Minds,Hungry Minds
"Мы позаботились о том, чтобы работа у нас была максимально интересной и комфортной:","Мы позаботились о том, чтобы работа у нас была максимально интересной и комфортной:"
"Эта вакансия только в офисе, 5/2, полный день","Эта вакансия только в офисе, 5/2, полный день"
Flocktory,Flocktory
Кого мы видим в нашей команде:,Кого мы видим в нашей команде:
Soft skils:,Soft skils:
"Если вы готовы принять вызов и работать над инновационными решениями в сфере промыщленного интернета вещей, присылайте свой отклик!","Если вы готовы принять вызов и работать над инновационными решениями в сфере промыщленного интернета вещей, присылайте свой отклик!"
"Среднемесячный доход: от 200 000 рублей на руки (оклад + KPI), без ограничения по выплатам + бонус до 5% с выручки.","Среднемесячный доход: от 200 000 рублей на руки (оклад + KPI), без ограничения по выплатам + бонус до 5% с выручки."
Средний состав команды:,Средний состав команды:
"И самое главное, мы предлагаем:","И самое главное, мы предлагаем:"
Ждем тебя в нашей команде,Ждем тебя в нашей команде
Vertical Choice,Vertical Choice
Spix,Spix
Ваша зона ответственности:,"Ваша зона ответственности:, Ваша Зона ответственности по ключевым задачам:, ЗОНА ОТВЕТСТВЕННОСТИ:"
"Если вакансия тебя заинтересовала, жми “Откликнуться”, мы ждем тебя!","Если вакансия тебя заинтересовала, жми “Откликнуться”, мы ждем тебя!"
Каким мы видим “своего” кандидата:,Каким мы видим “своего” кандидата:
Что ожидают от кандидатов:,Что ожидают от кандидатов:
Задачи команды:,Задачи команды:
Для чего вы нам нужны:,Для чего вы нам нужны:
Как мы нанимаем:,Как мы нанимаем:
Какие пожелания к кандидатам у нас?,Какие пожелания к кандидатам у нас?
Рефлекс –,Рефлекс –
Join us in revolutionizing the shipping industry and apply today!,Join us in revolutionizing the shipping industry and apply today!
ЦВД,ЦВД
Threat Intelligence,Threat Intelligence
Обучение,Обучение
Optimacros,Optimacros
Мы ищем авторов и специалистов для консультаций,Мы ищем авторов и специалистов для консультаций
Как попасть на стажировку:,Как попасть на стажировку:
"Если это про тебя и ты готова стать частью команды, отправьте отклик с сообщением:","Если это про тебя и ты готова стать частью команды, отправьте отклик с сообщением:"
Требуемая квалификация:,Требуемая квалификация:
✅ Формирование команды и проведение собеседований:,✅ Формирование команды и проведение собеседований:
Привет. Давай знакомиться!:),Привет. Давай знакомиться!:)
Отдел контекста,Отдел контекста
•,•
"Амбициозная команда профессионалов,","Амбициозная команда профессионалов,"
Автоматизация записи разговоров,Автоматизация записи разговоров
Встреча с руководителем отдела,Встреча с руководителем отдела
В настоящий момент мы ищем Team Lead команды Бизнес-аналитиков в команду разработки ПО.,В настоящий момент мы ищем Team Lead команды Бизнес-аналитиков в команду разработки ПО.
Axidian,Axidian
Что должно быть сделано?,Что должно быть сделано?
Настройка регулярных отчетов,Настройка регулярных отчетов
Поле для реализации собственных идей,Поле для реализации собственных идей
Уловия:,Уловия:
Какие качества мы ценим у кандидата?,Какие качества мы ценим у кандидата?
Создание сценариев распределения вызовов,Создание сценариев распределения вызовов
Что может быть интересно про нашу команду:,Что может быть интересно про нашу команду:
Проект - спортивная линия сайта компании. Работа в команде backend-разработки.,Проект - спортивная линия сайта компании. Работа в команде backend-разработки.
Интересная работа,Интересная работа
Мы ждем тебя в команду SSP SOFT!,Мы ждем тебя в команду SSP SOFT!
Devi Consulting,Devi Consulting
Используемые технологии:,Используемые технологии:
Эта стажировка идеально подходит для:,Эта стажировка идеально подходит для:
<em>Преимущества вакансии:</em>,<em>Преимущества вакансии:</em>
ЧТО ЕЩЕ МЫ ЦЕНИМ В НАШЕЙ КОМАНДЕ:,ЧТО ЕЩЕ МЫ ЦЕНИМ В НАШЕЙ КОМАНДЕ:
"<em>Ведение проектов по построению и корректировке КХД, разработка моделей и алгоритмов, дашбордов и автоматизации систем.</em>","<em>Ведение проектов по построению и корректировке КХД, разработка моделей и алгоритмов, дашбордов и автоматизации систем.</em>"
ЧТО НАДО БУДЕТ ДЕЛАТЬ,ЧТО НАДО БУДЕТ ДЕЛАТЬ
Масштабность проекта:,Масштабность проекта:
Дополнительно:,Дополнительно:
Соблюдаем ТК РФ:,Соблюдаем ТК РФ:
Организовываем рабочие процессы с учётом часовых поясов,Организовываем рабочие процессы с учётом часовых поясов
Личностные качества:,"Личностные качества:, <em>Личностные качества:</em>"
Реализовать управление задачами и целями:,Реализовать управление задачами и целями:
"Рассчитываем, что у тебя будут:","Рассчитываем, что у тебя будут:"
"Задачи, которые нужно решать:","Задачи, которые нужно решать:"
"Предполагаем, что Вы","Предполагаем, что Вы"
С нашей стороны:,С нашей стороны:
Бухгалтера по учету реализаций,Бухгалтера по учету реализаций
Регулярные выгрузки по расписанию,Регулярные выгрузки по расписанию
Работа в Черкизово - это:,Работа в Черкизово - это:
Полностью Удаленная работа из любой точки мира.,Полностью Удаленная работа из любой точки мира.
Что необходимо кандидату:,Что необходимо кандидату:
MANGO OFFICE,MANGO OFFICE
Наши пожелания к будущему коллеге:,Наши пожелания к будущему коллеге:
Для Вас мы предлагаем,Для Вас мы предлагаем
Чем придется заниматься?,Чем придется заниматься?
"Мы будем рады содействовать вашему профессиональному и карьерному росту, в обмен на ваши знания и идеи!","Мы будем рады содействовать вашему профессиональному и карьерному росту, в обмен на ваши знания и идеи!"
"Наша компания занимается онлайн программами / курсами премиум сегмента для владельцев бизнеса, благодаря чему, предприниматели получают энергию, вдохновение и реальные инструменты для роста личной и бизнес эффективности. Уже более 300 учеников доверили нам свой путь к успеху, мы продолжаем расти, достигать новых высот, масштабироваться.<br /><br />Мы сейчас активно растем, готовы пригласить к нам в команду Руководителя отдела маркетинга.<br /><br />Чем нужно будет заниматься:","Наша компания занимается онлайн программами / курсами премиум сегмента для владельцев бизнеса, благодаря чему, предприниматели получают энергию, вдохновение и реальные инструменты для роста личной и бизнес эффективности. Уже более 300 учеников доверили нам свой путь к успеху, мы продолжаем расти, достигать новых высот, масштабироваться.<br /><br />Мы сейчас активно растем, готовы пригласить к нам в команду Руководителя отдела маркетинга.<br /><br />Чем нужно будет заниматься:"
